student_id,previous_score,attendance_rate,completed_trainings,engagement_score,submission_rate,success
STU0670,81.46931646622761,67.189692404923,4.0236053756672305,49.321198456749194,46.7461068506856,1.0196366413967568
STU0641,99.87771279753613,80.35872969096955,5.34580051991562,75.25822827480424,58.202817083040635,0.9555420952812925
STU0417,77.33284504186071,67.78049869117352,3.0449162711851474,59.1388834594258,45.89193476735858,1.0178750263255933
STU0502,58.12703650061124,87.027192918827,5.871073798201822,45.03803711388545,64.05564240023615,0.9941548106131556
STU0818,81.26290416325946,75.76725541800764,4.987741859034929,66.70405480620039,57.67116752018784,1.017692762744215
STU0585,50.922918683881605,64.33821659607405,3.7719200788960645,66.14705262215668,50.25176844557317,0.019430232917385562
STU0260,84.69672725112461,67.98607369552273,8.989650543331608,55.866308207221124,52.56839816215016,1.0402122406079544
STU0647,35.298753990052255,62.005602226995,1.8930309630055164,60.86575444441173,22.92101311308442,0.03384843207574375
STU0666,9.30477561598963,49.86031498496637,4.117541209175431,71.65345752454964,17.69609117643829,0.03367632097123907
STU0889,70.57986464573135,87.94700275475829,1.9294359683611124,75.44745590924508,58.700809590596926,1.0361046548021438
STU0651,50.610132429367034,50.89309206549916,8.985006606144411,26.57145152834706,52.764080305730154,0.007287077613020729
STU0516,58.34808753824473,65.67145145696689,5.918390833752428,71.2482033210357,39.125165228643105,0.000804914696807754
STU0208,47.724002378350576,56.796246690483024,7.223278197212768,52.39234750907969,41.38334036758899,0.021828224266442778
STU0348,63.57780840269884,42.70686988957037,6.958750639834738,54.35252124215393,31.981426076896927,0.01830856372664027
STU0918,76.10440464074016,89.77182658608031,11.235310529862998,80.17636214168222,54.73791930804219,0.9922705830823778
STU0732,86.60268747356507,72.45293252873694,7.104541620253862,66.70355388486468,41.65036731301341,1.010124201652418
STU0964,45.15420634086379,96.4770484812254,7.061900052411601,74.26592029813877,57.0770466886251,0.9991222748011025
STU0378,69.66793455620358,56.08453763530268,7.047347389584449,74.14081840793003,44.35003174280252,0.978644048800597
STU0134,33.23690243233606,85.92323504722442,9.050565766141693,65.42802255692393,40.085493346345885,1.0322730466814747
STU0169,80.43089471973076,74.95000372311547,5.752476105634888,50.53466820713736,46.15503989623828,1.0013804741778163
STU0319,73.5862860711539,89.88979756353258,4.964189819093972,66.97387025786385,68.17313824924261,1.0512360082856291
